review_id,sample_id,scenario_id,raw_event_reference (real Campaign.campaign_id),attacker,victim,ai_proposed_expected_threat_status,"live_cti_score (reference only, NOT the label)","cyukti_prediction (derived from cti_score via cti_confidence_engine thresholds, NOT ground truth)",evidence_reference,ground_truth_threat_status (fill in: NOT_THREAT|SUSPICIOUS|QUALIFIED_THREAT),confidence (fill in: HIGH|MEDIUM|LOW),rationale,reviewer
REV-TQ-0013,SCN-SESSION-BOUNDARY-001-CAMP_23FB320A,SCN-SESSION-BOUNDARY-001,CAMP_23FB320A,192.168.56.105,pes1ug23cs411-VirtualBox,QUALIFIED_THREAT,39.53,SUSPICIOUS,"real Campaign CAMP_23FB320A, cti_score=39.53; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-TQ-0014,SCN-SESSION-BOUNDARY-001-CAMP_1429ADB4,SCN-SESSION-BOUNDARY-001,CAMP_1429ADB4,192.168.56.105,pes1ug23cs411-VirtualBox,QUALIFIED_THREAT,42.83,QUALIFIED_THREAT,"real Campaign CAMP_1429ADB4, cti_score=42.83; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-TQ-0015,SCN-SESSION-BOUNDARY-001-CAMP_F91A7652,SCN-SESSION-BOUNDARY-001,CAMP_F91A7652,192.168.56.105,pes1ug23cs411-VirtualBox,QUALIFIED_THREAT,52.38,QUALIFIED_THREAT,"real Campaign CAMP_F91A7652, cti_score=52.38; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-TQ-0016,SCN-SESSION-BOUNDARY-001-CAMP_066240B7,SCN-SESSION-BOUNDARY-001,CAMP_066240B7,192.168.56.105,pes1ug23cs411-VirtualBox,QUALIFIED_THREAT,33.56,SUSPICIOUS,"real Campaign CAMP_066240B7, cti_score=33.56; scenario evidence: ['journal_ready_data.md Section 10.6 (CAMP_1429ADB4, attacker 192.168.56.105 -> victim pes1ug23cs411-VirtualBox, risk 34820)']",,,,
REV-TQ-0017,SCN-NMAP-001-CAMP_947A7084,SCN-NMAP-001,CAMP_947A7084,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_947A7084, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0018,SCN-NMAP-001-CAMP_67FCB361,SCN-NMAP-001,CAMP_67FCB361,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_67FCB361, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0019,SCN-NMAP-001-CAMP_427A075C,SCN-NMAP-001,CAMP_427A075C,192.168.56.106,192.168.56.105,SUSPICIOUS,45.58,QUALIFIED_THREAT,"real Campaign CAMP_427A075C, cti_score=45.58; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0020,SCN-NMAP-001-CAMP_99EE7A64,SCN-NMAP-001,CAMP_99EE7A64,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_99EE7A64, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0021,SCN-NMAP-001-CAMP_86D5837D,SCN-NMAP-001,CAMP_86D5837D,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_86D5837D, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0022,SCN-NMAP-001-CAMP_15E98B82,SCN-NMAP-001,CAMP_15E98B82,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_15E98B82, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0023,SCN-NMAP-001-CAMP_B177634A,SCN-NMAP-001,CAMP_B177634A,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_B177634A, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
REV-TQ-0024,SCN-NMAP-001-CAMP_1B8E9033,SCN-NMAP-001,CAMP_1B8E9033,192.168.56.106,192.168.56.105,SUSPICIOUS,49.08,QUALIFIED_THREAT,"real Campaign CAMP_1B8E9033, cti_score=49.08; scenario evidence: ['INCIDENT_VIEW.md#Real-world validation', 'MITRE_MAPPING.md', 'experiments/examples/EXP-2026-09-25-nmap-scan-01.json']",,,,
